unique_id,painting,emotional_intensity,evokes_sombre,evokes_content,evokes_calm,evokes_uneasy,prominent_colour_count,prominent_object_count,place_bedroom,place_office,place_living_room,place_dining_room,view_friends,view_family,view_coworkers,view_by_yourself,like_fall,like_winter,like_spring,like_summer,monetary_value,text_clock_feels,text_clock_food,text_clock_music,text_starry_feels,text_starry_food,text_starry_music,text_lilies_feels,text_lilies_food,text_lilies_music
1,The Persistence of Memory,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,The Persistence of Memory,5,4,3,2,1,2,4,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.08861164427383235,0.004459308807134894,0.005769230769230769,0.007447864945382323,0.0011560693641618498,0.000441306266548985,0.003569607343192249,0.0011682242990654205,0.002152389151958674
3,The Persistence of Memory,7,4,1,1,4,4,3,1,0,0,1,0,0,1,1,1,0,0,0,5.0,0.08861164427383238,0.0011148272017837235,0.02,0.011420059582919563,0.0,0.006619593998234775,0.00815910249872514,0.0,0.008179078777442962
5,The Persistence of Memory,7,3,4,5,3,4,6,0,0,1,0,1,0,0,0,0,0,1,1,300.0,0.027191298784388994,0.013377926421404684,0.065,0.013902681231380337,0.017341040462427744,0.02824360105913504,0.0071392146863844975,0.005841121495327103,0.017649591046061126
6,The Persistence of Memory,7,4,2,1,5,5,6,0,1,1,0,1,1,0,1,1,0,0,1,90000.0,0.04030710172744721,0.0011148272017837235,0.010769230769230769,0.034756703078450836,0.0,0.003089143865842895,0.03161652218255992,0.0,0.0008609556607834697
10,The Persistence of Memory,10,5,3,1,5,3,5,0,0,1,0,1,1,0,1,1,0,0,0,100000000.0,0.1289187460012796,0.0033444816053511705,0.07846153846153846,0.024329692154915594,0.0023121387283236996,0.029567519858781997,0.003059663437021928,0.0011682242990654205,0.018941024537236333
11,The Persistence of Memory,7,4,2,4,3,3,5,0,1,0,1,0,0,0,1,1,0,0,0,400.0,0.15323096609085088,0.060200668896321065,0.11884615384615388,0.0451837140019861,0.015028901734104046,0.062224183583406895,0.04028556858745538,0.010514018691588784,0.05940594059405941
13,The Persistence of Memory,7,5,1,2,5,7,8,0,1,0,0,1,1,0,1,1,0,0,0,5.0,0.208893154190659,0.011148272017837236,0.00923076923076923,0.030784508440913603,0.025433526011560695,0.00176522506619594,0.020907700152983176,0.02570093457943925,0.0034438226431338786
14,The Persistence of Memory,6,4,3,4,4,5,3,0,0,1,1,1,0,0,1,1,0,0,1,100000.0,0.09053103007037748,0.004459308807134894,0.07807692307692311,0.011916583912611717,0.0011560693641618498,0.032656663724624904,0.00815910249872514,0.0,0.02023245802841154
15,The Persistence of Memory,3,4,3,4,1,3,5,0,1,0,0,0,0,0,1,0,0,0,1,5000.0,0.18969929622520793,0.006688963210702342,0.056153846153846165,0.03227408142999007,0.0011560693641618498,0.03883495145631068,0.02804691483936767,0.0011682242990654205,0.039603960396039604
17,The Persistence of Memory,8,4,2,2,4,5,6,0,1,0,0,0,0,0,1,0,0,0,1,50.0,0.090850927703135,0.03901895206243032,0.07461538461538461,0.006454816285998013,0.012716763005780347,0.03618711385701677,0.00407955124936257,0.02453271028037383,0.028411536805854502
19,The Persistence of Memory,3,4,1,1,4,3,6,0,0,0,1,0,0,0,1,0,1,0,0,100.0,0.007357645553422904,0.0379041248606466,0.05269230769230769,0.003972194637537239,0.005780346820809248,0.02118270079435128,0.0005099439061703213,0.009345794392523364,0.015066724063710719
21,The Persistence of Memory,7,4,2,1,4,5,3,0,0,1,0,1,0,0,0,0,1,0,0,50.0,0.30198336532309666,0.026755852842809364,0.08576923076923076,0.05461767626613705,0.006936416184971098,0.041482789055604596,0.03416624171341152,0.010514018691588784,0.03874300473525613
22,The Persistence of Memory,5,4,2,3,4,8,9,0,0,0,0,1,0,0,0,0,1,0,0,50.0,0.18969929622520793,0.0011148272017837235,0.07538461538461538,0.08192651439920558,0.0,0.03574580759046779,0.09026007139214685,0.0,0.03486870426173052
25,The Persistence of Memory,7,4,2,2,4,4,7,1,0,0,0,0,0,0,1,1,0,0,0,150.0,0.07677543186180423,0.0033444816053511705,0.006923076923076923,0.007447864945382323,0.0,0.001323918799646955,0.015298317185109638,0.0,0.0
26,The Persistence of Memory,4,5,2,2,4,3,8,1,1,1,0,1,1,0,0,1,0,0,1,100.0,0.08029430582213692,0.005574136008918618,0.05307692307692308,0.004965243296921549,0.0023121387283236996,0.021624007060900268,0.0015298317185109638,0.0011682242990654205,0.015497201894102454
28,The Persistence of Memory,6,4,3,2,4,7,8,0,1,1,0,0,0,0,1,0,0,0,1,50.0,0.005118362124120281,0.008918617614269788,0.015769230769230768,0.0014895729890764648,0.005780346820809248,0.014563106796116505,0.0005099439061703213,0.018691588785046728,0.006887645286267757
30,The Persistence of Memory,10,5,1,1,5,2,3,0,0,0,1,0,0,0,1,1,0,0,0,300.0,0.20441458733205375,0.004459308807134894,0.10153846153846158,0.046176762661370406,0.003468208092485549,0.0684024713150927,0.03722590515043346,0.0,0.061558329746018076
31,The Persistence of Memory,5,3,2,3,4,5,3,1,0,0,0,0,0,0,1,1,0,0,0,1.0,0.025911708253358926,0.004459308807134894,0.07884615384615384,0.007944389275074478,0.0011560693641618498,0.050308914386584296,0.0010198878123406426,0.0035046728971962616,0.03874300473525613
32,The Persistence of Memory,4,4,2,2,4,5,9,0,1,0,0,0,0,0,1,0,0,0,1,20.0,0.0,0.0033444816053511705,0.0026923076923076926,0.0,0.008092485549132947,0.00088261253309797,0.0,0.002336448598130841,0.00043047783039173483
33,The Persistence of Memory,8,5,2,2,3,3,4,0,1,0,0,1,0,0,1,1,1,0,0,50.0,0.008637236084452975,0.011148272017837236,0.0038461538461538464,0.007944389275074478,0.025433526011560695,0.001323918799646955,0.008669046404895462,0.02570093457943925,0.0017219113215669393
34,The Persistence of Memory,7,3,1,4,4,5,5,0,1,0,0,0,0,0,1,0,1,0,0,500.0,0.4027511196417149,0.030100334448160536,0.0003846153846153846,0.048659384309831175,0.006936416184971098,0.0,0.03416624171341153,0.005841121495327103,0.0
35,The Persistence of Memory,1,5,1,3,4,3,5,0,1,0,0,0,1,0,1,1,0,0,0,3.14,0.09852847088931543,0.006688963210702341,0.007307692307692308,0.01936444885799404,0.009248554913294798,0.001323918799646955,0.011728709841917389,0.0011682242990654205,0.0012914334911752045
36,The Persistence of Memory,7,5,2,3,4,4,4,0,1,0,0,0,0,0,1,1,0,0,0,888.0,0.01215611004478567,0.002229654403567447,0.06423076923076924,0.004468718967229395,0.0,0.027802294792586058,0.002039775624681285,0.0,0.024106758501937147
37,The Persistence of Memory,8,4,2,5,4,5,2,0,1,0,0,1,1,1,1,0,0,0,1,20.0,0.10268714011516315,0.006688963210702341,0.12269230769230774,0.013902681231380337,0.009248554913294798,0.05957634598411301,0.00407955124936257,0.0011682242990654205,0.05596211795092552
38,The Persistence of Memory,8,4,2,1,5,6,4,1,0,0,0,1,1,0,0,1,0,0,0,1000.0,0.02111324376199616,0.005574136008918618,0.018846153846153846,0.01638530287984111,0.0,0.0035304501323918797,0.00866904640489546,0.0011682242990654205,0.002152389151958674
40,The Persistence of Memory,5,2,1,1,4,3,3,0,1,0,0,0,0,0,1,1,0,0,0,10000.0,0.045745361484325016,0.12709030100334448,0.04153846153846154,0.05759682224428997,0.10751445086705201,0.0617828773168579,0.0479347271800102,0.012850467289719626,0.053379250968575126
41,The Persistence of Memory,8,4,1,4,5,6,5,0,1,1,0,0,0,0,1,1,0,0,1,15000.0,0.16090850927703135,0.03121516164994426,0.09384615384615386,0.03922542204568023,0.006936416184971098,0.046337157987643436,0.0382457929627741,0.005841121495327103,0.0271201033146793
42,The Persistence of Memory,8,5,2,2,4,4,5,0,1,1,0,0,0,0,1,1,1,0,0,100000.0,0.010236724248240563,0.06354515050167224,0.01769230769230769,0.0,0.015028901734104046,0.011032656663724624,0.0,0.016355140186915886,0.017219113215669393
43,The Persistence of Memory,4,2,1,4,3,4,4,0,1,0,0,0,0,1,0,0,1,0,0,400.0,0.010236724248240563,0.013377926421404684,0.03038461538461539,0.004965243296921549,0.017341040462427744,0.013239187996469552,0.001529831718510964,0.005841121495327103,0.01162290142057684
44,The Persistence of Memory,8,3,1,2,5,4,5,0,0,0,0,0,1,0,1,0,0,0,1,50.0,0.14011516314779268,0.024526198439241916,0.021153846153846155,0.02333664349553128,0.027745664739884393,0.018976169461606355,0.018357980622131568,0.003504672897196261,0.015497201894102454
45,The Persistence of Memory,7,3,4,2,4,5,7,0,1,0,0,0,0,1,0,1,0,0,0,20.0,0.09852847088931542,0.045707915273132664,0.04038461538461539,0.02333664349553128,0.010404624277456646,0.050308914386584296,0.01274859765425803,0.004672897196261682,0.034868704261730527
46,The Persistence of Memory,6,4,3,4,4,5,7,0,1,0,0,0,0,0,1,1,0,0,1,0.0,0.09053103007037748,0.017837235228539576,0.05153846153846154,0.007944389275074478,0.021965317919075144,0.045895851721094436,0.00407955124936257,0.0011682242990654205,0.04003443822643134
48,The Persistence of Memory,7,5,2,5,5,4,5,0,0,1,0,0,1,0,1,1,0,0,0,1000.0,0.034548944337811895,0.002229654403567447,0.04692307692307693,0.009930486593843098,0.0011560693641618498,0.012797881729920565,0.0035696073431922487,0.0,0.005596211795092553
49,The Persistence of Memory,8,4,2,4,4,9,5,0,1,1,0,0,0,0,1,1,0,0,0,20.0,0.3227767114523354,0.005574136008918618,0.08807692307692311,0.07149950347567031,0.0023121387283236996,0.04545454545454546,0.04487506374298827,0.0,0.041325871717606544
50,The Persistence of Memory,6,4,2,2,4,4,5,0,0,1,0,0,0,0,1,1,0,0,0,200000000.0,0.024632117722328855,0.026755852842809364,0.01346153846153846,0.010427010923535252,0.006936416184971098,0.003089143865842895,0.0005099439061703213,0.010514018691588784,0.00043047783039173483
51,The Persistence of Memory,6,4,3,2,4,4,4,1,0,0,0,0,0,0,1,0,0,0,1,0.0,0.31797824696097254,0.0011148272017837235,0.04038461538461538,0.0461767626613704,0.0,0.04677846425419241,0.035696073431922486,0.0,0.03616013775290573
52,The Persistence of Memory,5,3,2,2,4,4,4,1,0,0,0,0,0,1,0,0,1,0,0,3.0,0.0006397952655150352,0.0011148272017837235,0.06538461538461539,0.0,0.0011560693641618498,0.03795233892321271,0.0,0.0011682242990654205,0.034868704261730527
53,The Persistence of Memory,5,2,2,2,4,4,5,1,0,0,0,1,0,0,0,0,1,0,0,25.0,0.005118362124120281,0.026755852842809364,0.025384615384615387,0.05312810327706058,0.006936416184971098,0.043689320388349516,0.06425293217746048,0.010514018691588784,0.041325871717606544
54,The Persistence of Memory,7,3,3,4,4,8,7,0,1,0,0,0,0,0,1,0,0,1,0,1000.0,0.02079334612923864,0.03567447045707915,0.06192307692307692,0.003972194637537239,0.006936416184971098,0.029126213592233014,0.005099439061703213,0.005841121495327103,0.024537236332328884
56,The Persistence of Memory,9,4,2,2,4,4,7,0,1,0,0,0,0,0,1,0,0,0,1,3500000.0,0.19961612284069097,0.026755852842809368,0.05769230769230769,0.030784508440913606,0.03583815028901734,0.02383053839364519,0.006119326874043855,0.008177570093457943,0.01764959104606113
58,The Persistence of Memory,6,4,3,2,5,6,5,1,1,1,1,0,1,0,1,1,0,0,0,3000.0,0.06717850287907869,0.005574136008918618,0.0019230769230769232,0.03922542204568024,0.0011560693641618498,0.00088261253309797,0.03824579296277409,0.0011682242990654205,0.0008609556607834697
59,The Persistence of Memory,7,5,3,2,5,4,6,0,0,1,0,0,0,0,1,0,1,0,0,10000000.0,0.1781829814459373,0.002229654403567447,0.026153846153846156,0.0695134061569017,0.0023121387283236996,0.02162400706090027,0.07139214686384497,0.0011682242990654205,0.02927249246663797
61,The Persistence of Memory,7,4,1,1,5,4,5,0,1,1,0,1,0,0,1,1,1,0,0,10000.0,0.11132437619961612,0.007803790412486065,0.0034615384615384616,0.014399205561072492,0.013872832369942197,0.0,0.011218765935747067,0.002336448598130841,0.0
63,The Persistence of Memory,7,4,2,2,5,7,4,0,1,0,1,0,0,0,1,1,0,0,0,80000.0,0.01215611004478567,0.03901895206243032,0.0726923076923077,0.0014895729890764646,0.048554913294797684,0.053839364518976175,0.0,0.009345794392523364,0.04132587171760654
64,The Persistence of Memory,5,5,2,2,4,3,6,0,0,0,0,0,1,0,1,1,0,0,0,200.0,0.07869481765834932,0.0011148272017837235,0.0019230769230769232,0.004965243296921549,0.0,0.010591350397175639,0.0015298317185109638,0.0,0.004735256134309083
65,The Persistence of Memory,4,2,2,3,2,5,4,0,0,1,0,0,0,0,1,1,0,0,0,10.0,0.15642994241842617,0.002229654403567447,0.10230769230769231,0.04667328699106255,0.0011560693641618498,0.04501323918799648,0.035186129525752154,0.004672897196261682,0.04476969436074042
66,The Persistence of Memory,3,4,1,2,4,12,6,1,0,0,0,0,0,0,1,0,1,0,0,0.0,0.08029430582213692,0.008918617614269788,0.04961538461538462,0.005958291956305859,0.004624277456647399,0.08120035304501325,0.002039775624681285,0.0011682242990654205,0.06500215238915195
