alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
1e-05,relu,16,"(25,)",0.8666666666666667,0.8666666666666667,0.8674919465102221,0.8653209957557784,1.0
1e-05,relu,16,"(25, 25)",0.8666666666666667,0.8666666666666666,0.867014062262073,0.8654215829079245,1.0
1e-05,relu,16,"(50,)",0.8606060606060606,0.8606060606060607,0.8608623485691917,0.8586337932011697,1.0
1e-05,relu,16,"(50, 50)",0.8636363636363636,0.8636363636363636,0.8642915977083687,0.8615653508644544,1.0
1e-05,relu,16,"(100,)",0.8606060606060606,0.8606060606060607,0.8604628665922149,0.8589677091278922,1.0
1e-05,relu,16,"(100, 100)",0.8696969696969697,0.8696969696969697,0.8695020548117892,0.8686448280608806,1.0
1e-05,relu,32,"(25,)",0.8636363636363636,0.8636363636363636,0.8647903038610361,0.8616725425802505,1.0
1e-05,relu,32,"(25, 25)",0.8787878787878788,0.8787878787878789,0.8789241947136684,0.877706004097147,1.0
1e-05,relu,32,"(50,)",0.8545454545454545,0.8545454545454545,0.8549622509838636,0.852079440683725,1.0
1e-05,relu,32,"(50, 50)",0.8636363636363636,0.8636363636363636,0.8649182060472382,0.8615304053448417,1.0
1e-05,relu,32,"(100,)",0.8636363636363636,0.8636363636363636,0.863521798847401,0.8622236681447207,1.0
1e-05,relu,32,"(100, 100)",0.8636363636363636,0.8636363636363636,0.8637837684265213,0.861891030810408,1.0
1e-05,relu,48,"(25,)",0.8606060606060606,0.8606060606060607,0.8615442012398226,0.8583172498338808,1.0
1e-05,relu,48,"(25, 25)",0.8727272727272727,0.8727272727272727,0.8733483263853336,0.8710461562566575,1.0
1e-05,relu,48,"(50,)",0.8545454545454545,0.8545454545454545,0.8543503962778055,0.8520925455896279,1.0
1e-05,relu,48,"(50, 50)",0.8636363636363636,0.8636363636363636,0.8638256007414779,0.8621493346893804,1.0
1e-05,relu,48,"(100,)",0.8696969696969697,0.8696969696969697,0.8693446259326477,0.8685963618485742,1.0
1e-05,relu,48,"(100, 100)",0.8696969696969697,0.8696969696969697,0.8696227021907533,0.8680752606153064,1.0
1e-05,relu,64,"(25,)",0.8606060606060606,0.8606060606060607,0.8617647284237311,0.8583725597518702,1.0
1e-05,relu,64,"(25, 25)",0.8787878787878788,0.8787878787878789,0.8789675162100238,0.8774386640376418,1.0
1e-05,relu,64,"(50,)",0.8575757575757575,0.8575757575757575,0.857270548528354,0.8553588853764725,1.0
1e-05,relu,64,"(50, 50)",0.8666666666666667,0.8666666666666667,0.8671722409471956,0.8647970338728777,1.0
1e-05,relu,64,"(100,)",0.8727272727272727,0.8727272727272727,0.8726242358668101,0.8718705761318034,1.0
1e-05,relu,64,"(100, 100)",0.8696969696969697,0.8696969696969697,0.8696227021907533,0.8680752606153064,1.0
1e-05,tanh,16,"(25,)",0.8575757575757575,0.8575757575757575,0.8578059853277877,0.855098294570367,1.0
1e-05,tanh,16,"(25, 25)",0.8606060606060606,0.8606060606060607,0.8613925470461973,0.858521052782172,1.0
1e-05,tanh,16,"(50,)",0.8575757575757575,0.8575757575757575,0.8579709455387445,0.8548321999690486,1.0
1e-05,tanh,16,"(50, 50)",0.8545454545454545,0.8545454545454545,0.854684574010426,0.8517674792278908,1.0
1e-05,tanh,16,"(100,)",0.8484848484848485,0.8484848484848485,0.848390317519474,0.8456221766492596,1.0
1e-05,tanh,16,"(100, 100)",0.8666666666666667,0.8666666666666667,0.8663597819441975,0.8649430634724752,1.0
1e-05,tanh,32,"(25,)",0.8636363636363636,0.8636363636363636,0.8637847088363858,0.8611755046846324,1.0
1e-05,tanh,32,"(25, 25)",0.8666666666666667,0.8666666666666667,0.8684269237460726,0.8645517991480105,1.0
1e-05,tanh,32,"(50,)",0.8696969696969697,0.8696969696969696,0.8701573547690366,0.8675379241902847,1.0
1e-05,tanh,32,"(50, 50)",0.8575757575757575,0.8575757575757575,0.8587399657626739,0.8546650443832089,1.0
1e-05,tanh,32,"(100,)",0.8545454545454545,0.8545454545454545,0.8545962696423691,0.8518044152526912,1.0
1e-05,tanh,32,"(100, 100)",0.8545454545454545,0.8545454545454545,0.853754764052431,0.8522256329300606,1.0
1e-05,tanh,48,"(25,)",0.8696969696969697,0.8696969696969697,0.8704465209063819,0.8675222962748318,1.0
1e-05,tanh,48,"(25, 25)",0.8636363636363636,0.8636363636363636,0.8651739296900587,0.8611868071420449,1.0
1e-05,tanh,48,"(50,)",0.8575757575757575,0.8575757575757575,0.8574333019880073,0.8550694621282856,1.0
