alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
0.000199,relu,64,"(440,)",0.8727272727272727,0.8727272727272727,0.8728081272704041,0.871587005290097,1.0
0.000307,tanh,62,"(280, 355, 115)",0.8575757575757575,0.8575757575757575,0.8590331912695337,0.8539898387310935,1.0
0.000841,tanh,18,"(470, 165, 405)",0.8424242424242424,0.8424242424242424,0.8421768707482992,0.8408662006488093,1.0
0.000811,relu,24,"(475, 265, 240, 360, 395)",0.8636363636363636,0.8636363636363636,0.8628150817101851,0.8627641726233275,1.0
0.000603,relu,38,"(135, 320)",0.8636363636363636,0.8636363636363636,0.863927027714213,0.8616425120772947,1.0
0.000211,tanh,62,"(40, 230)",0.8575757575757575,0.8575757575757575,0.8574333019880073,0.8550694621282856,1.0
0.000103,tanh,56,"(105, 200, 20, 50)",0.8666666666666667,0.8666666666666667,0.8676705789719742,0.8638941275079889,1.0
0.000587,relu,48,"(485,)",0.8696969696969697,0.8696969696969697,0.8697480181486807,0.868352772958036,1.0
0.000743,relu,24,"(40, 85, 400)",0.8727272727272727,0.8727272727272727,0.8724424206048639,0.8717193127930732,1.0
0.000211,relu,56,"(10, 425, 405)",0.8696969696969697,0.8696969696969696,0.8698989157903317,0.867358234816307,1.0
0.000321,tanh,52,"(370, 70, 300, 205, 205)",0.8545454545454545,0.8545454545454546,0.854812053509182,0.8514682741167889,1.0
0.000119,relu,20,"(195, 330)",0.8666666666666667,0.8666666666666667,0.86666352699058,0.8651021129592182,1.0
0.000605,tanh,68,"(135, 235, 170)",0.8575757575757575,0.8575757575757575,0.8590860139532706,0.8545996550651016,1.0
9.7e-05,tanh,48,"(120, 15)",0.8484848484848485,0.8484848484848485,0.8505807490182491,0.8455642494272873,1.0
0.000283,relu,12,"(170, 30, 195, 260, 90)",0.8727272727272727,0.8727272727272727,0.8724085213748882,0.872414409864697,1.0
0.000783,tanh,18,"(305, 190, 85, 20, 495)",0.8515151515151516,0.8515151515151516,0.8504700730867061,0.8503921353311904,1.0
0.000329,relu,52,"(40, 105, 170)",0.8818181818181818,0.8818181818181818,0.8813747512512814,0.8811228129537989,1.0
0.000681,relu,46,"(235, 10, 350, 15)",0.8727272727272727,0.8727272727272727,0.8725528633785515,0.8721357789976145,1.0
1.9e-05,tanh,34,"(90, 240)",0.8636363636363636,0.8636363636363636,0.8638112901948461,0.8609250136836343,1.0
0.000443,relu,56,"(80, 425, 440, 310, 440)",0.8606060606060606,0.8606060606060607,0.8602674565937788,0.858847403168174,1.0
0.000949,relu,44,"(40, 285, 100)",0.8545454545454545,0.8545454545454545,0.8550692818110851,0.8527955474724808,1.0
3e-06,tanh,40,"(395, 455, 430, 175)",0.8454545454545455,0.8454545454545456,0.8458942399271191,0.8428759064673672,1.0
0.000773,tanh,14,"(155,)",0.8515151515151516,0.8515151515151516,0.8508491780550603,0.8499811108406833,1.0
0.000491,tanh,40,"(325, 225)",0.8545454545454545,0.8545454545454545,0.8549162671113891,0.8509328619235786,1.0
0.000845,tanh,28,"(455, 170)",0.8484848484848485,0.8484848484848486,0.8480651276904204,0.8466401414677277,1.0
0.000813,tanh,68,"(290, 325, 165)",0.8606060606060606,0.8606060606060607,0.8614946920145893,0.8587052036858381,1.0
0.000811,relu,54,"(410,)",0.8727272727272727,0.8727272727272727,0.8726242358668101,0.8718705761318034,1.0
0.000235,relu,68,"(95, 150, 180)",0.8727272727272727,0.8727272727272727,0.8729913551995931,0.8706916460468953,1.0
0.000473,tanh,34,"(270, 410, 100, 495)",0.8606060606060606,0.8606060606060607,0.8614969135802469,0.8584402814240689,1.0
0.000477,tanh,24,"(420, 130, 115, 45, 45)",0.8575757575757575,0.8575757575757575,0.8588670028864148,0.8552672693696352,1.0
0.000461,tanh,56,"(195, 50, 200)",0.8545454545454545,0.8545454545454545,0.8552916164868386,0.8518409134169443,1.0
0.000563,relu,44,"(195, 175, 235)",0.8787878787878788,0.8787878787878788,0.8783845299303762,0.8781358429601024,1.0
0.000173,relu,10,"(300, 360, 280, 305, 255)",0.8515151515151516,0.8515151515151516,0.8507075627397828,0.8502668894434481,1.0
0.000437,relu,34,"(405, 405, 110, 485)",0.8727272727272727,0.8727272727272727,0.8726798800328212,0.8714707059915058,1.0
0.000853,relu,26,"(495, 210, 85)",0.8727272727272727,0.8727272727272727,0.8720630404840931,0.8721463898618481,1.0
0.000751,relu,38,"(495, 365)",0.8696969696969697,0.8696969696969697,0.869119807922202,0.8686504084673988,1.0
0.000185,relu,28,"(400, 245, 465, 265)",0.8787878787878788,0.8787878787878789,0.8790230738760151,0.8776635016579856,1.0
0.000331,relu,52,"(375, 35, 80, 290, 260)",0.8848484848484849,0.8848484848484848,0.8851919685253019,0.8845608827741431,1.0
