alpha,activation,batch_size,hidden_layer_sizes,val,train
0.0001,relu,16,"(50,)",0.8363636363636363,0.9887640449438202
0.0001,relu,16,"(100,)",0.8242424242424242,0.9987515605493134
0.0001,relu,16,"(50, 50)",0.8090909090909091,1.0
0.0001,relu,32,"(50,)",0.8303030303030303,0.9650436953807741
0.0001,relu,32,"(100,)",0.8242424242424242,0.9737827715355806
0.0001,relu,32,"(50, 50)",0.8151515151515152,1.0
0.0001,tanh,16,"(50,)",0.8333333333333334,0.9962546816479401
0.0001,tanh,16,"(100,)",0.8272727272727273,0.9962546816479401
0.0001,tanh,16,"(50, 50)",0.8272727272727273,1.0
0.0001,tanh,32,"(50,)",0.8393939393939394,0.951310861423221
0.0001,tanh,32,"(100,)",0.8333333333333334,0.9538077403245943
0.0001,tanh,32,"(50, 50)",0.8303030303030303,0.9925093632958801
0.001,relu,16,"(50,)",0.8151515151515152,0.9862671660424469
0.001,relu,16,"(100,)",0.8272727272727273,0.9987515605493134
0.001,relu,16,"(50, 50)",0.7909090909090909,1.0
0.001,relu,32,"(50,)",0.8333333333333334,0.9650436953807741
0.001,relu,32,"(100,)",0.8272727272727273,0.9700374531835206
0.001,relu,32,"(50, 50)",0.8151515151515152,0.9962546816479401
0.001,tanh,16,"(50,)",0.8303030303030303,0.9950062421972534
0.001,tanh,16,"(100,)",0.8242424242424242,0.9950062421972534
0.001,tanh,16,"(50, 50)",0.8212121212121212,0.9975031210986267
0.001,tanh,32,"(50,)",0.8393939393939394,0.9500624219725343
0.001,tanh,32,"(100,)",0.8333333333333334,0.9538077403245943
0.001,tanh,32,"(50, 50)",0.8303030303030303,0.9925093632958801
0.01,relu,16,"(50,)",0.8393939393939394,0.9775280898876404
0.01,relu,16,"(100,)",0.8333333333333334,0.9950062421972534
0.01,relu,16,"(50, 50)",0.8151515151515152,1.0
0.01,relu,32,"(50,)",0.8303030303030303,0.9588014981273408
0.01,relu,32,"(100,)",0.8363636363636363,0.968789013732834
0.01,relu,32,"(50, 50)",0.8121212121212121,0.9937578027465668
0.01,tanh,16,"(50,)",0.8303030303030303,0.9850187265917603
0.01,tanh,16,"(100,)",0.8303030303030303,0.9862671660424469
0.01,tanh,16,"(50, 50)",0.8090909090909091,0.9950062421972534
0.01,tanh,32,"(50,)",0.8393939393939394,0.9463171036204744
0.01,tanh,32,"(100,)",0.8333333333333334,0.9500624219725343
0.01,tanh,32,"(50, 50)",0.8333333333333334,0.9812734082397003
