alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
1e-05,relu,16,"(25,)",0.9090909090909091,0.9090909090909092,0.9098177166613367,0.9088693957115009,1.0
1e-05,relu,16,"(25, 25)",0.9030303030303031,0.903030303030303,0.9029261416366929,0.9027450280365343,1.0
1e-05,relu,16,"(50,)",0.9212121212121213,0.9212121212121213,0.9212309429700735,0.9209067418369744,1.0
1e-05,relu,16,"(50, 50)",0.9121212121212121,0.9121212121212121,0.9124075278922383,0.9119211428147587,1.0
1e-05,relu,16,"(100,)",0.9121212121212121,0.9121212121212121,0.9119957337348641,0.9117453605825698,1.0
1e-05,relu,16,"(100, 100)",0.8909090909090909,0.890909090909091,0.8906454783748362,0.8907400551236168,1.0
1e-05,relu,32,"(25,)",0.9,0.9,0.9011449655347401,0.8998023565627532,1.0
1e-05,relu,32,"(25, 25)",0.9090909090909091,0.9090909090909092,0.9088832529306732,0.9088244562833502,1.0
1e-05,relu,32,"(50,)",0.9151515151515152,0.915151515151515,0.9149514659494488,0.9148890186506183,1.0
1e-05,relu,32,"(50, 50)",0.9090909090909091,0.9090909090909092,0.9095076487825203,0.9085996391712446,1.0
1e-05,relu,32,"(100,)",0.9151515151515152,0.915151515151515,0.9151031200688386,0.9148655504819888,1.0
1e-05,relu,32,"(100, 100)",0.8909090909090909,0.890909090909091,0.8906826760037768,0.8907836187449402,1.0
1e-05,relu,48,"(25,)",0.906060606060606,0.9060606060606061,0.9067460317460316,0.9054937647455342,1.0
1e-05,relu,48,"(25, 25)",0.906060606060606,0.9060606060606061,0.9061767789923131,0.9055104623200423,1.0
1e-05,relu,48,"(50,)",0.9181818181818182,0.9181818181818183,0.9180523423944477,0.9177594650725491,1.0
1e-05,relu,48,"(50, 50)",0.9090909090909091,0.9090909090909091,0.9095238095238095,0.9088326602120967,1.0
1e-05,relu,48,"(100,)",0.9121212121212121,0.9121212121212121,0.9124609957943292,0.9118121889927681,1.0
1e-05,relu,48,"(100, 100)",0.8909090909090909,0.890909090909091,0.8909743076409743,0.890904562248329,1.0
1e-05,relu,64,"(25,)",0.9090909090909091,0.9090909090909091,0.9105169935647758,0.9089670966519977,1.0
1e-05,relu,64,"(25, 25)",0.9151515151515152,0.9151515151515152,0.9154612994623137,0.914641306860375,1.0
1e-05,relu,64,"(50,)",0.9151515151515152,0.915151515151515,0.9149514659494488,0.9148890186506183,1.0
1e-05,relu,64,"(50, 50)",0.9090909090909091,0.9090909090909091,0.9095238095238095,0.9088326602120967,1.0
1e-05,relu,64,"(100,)",0.9181818181818182,0.9181818181818181,0.9184257451986794,0.9179574150752198,1.0
1e-05,relu,64,"(100, 100)",0.8939393939393939,0.8939393939393939,0.8942280899056599,0.8939972564260988,1.0
