alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
0.000199,relu,64,"(440,)",0.9181818181818182,0.9181818181818181,0.9182910981156596,0.9180865006553081,1.0
0.000307,tanh,62,"(280, 355, 115)",0.9212121212121213,0.9212121212121213,0.9220765376825498,0.9210526315789473,1.0
0.000841,tanh,18,"(470, 165, 405)",0.8848484848484849,0.8848484848484848,0.8854986060822926,0.883854631035286,0.9962546816479401
0.000811,relu,24,"(475, 265, 240, 360, 395)",0.9090909090909091,0.9090909090909092,0.9099856019103806,0.9092910827189687,1.0
0.000603,relu,38,"(135, 320)",0.9030303030303031,0.903030303030303,0.9027382726082441,0.9026498870239622,1.0
0.000211,tanh,62,"(40, 230)",0.9121212121212121,0.9121212121212121,0.9132533871664307,0.9122839793318077,1.0
0.000103,tanh,56,"(105, 200, 20, 50)",0.9333333333333333,0.9333333333333335,0.9343353587037629,0.9332358674463938,1.0
0.000587,relu,48,"(485,)",0.9121212121212121,0.9121212121212121,0.9121180192316859,0.9118603077963808,1.0
0.000743,relu,24,"(40, 85, 400)",0.8787878787878788,0.8787878787878789,0.8786549707602339,0.8785768894713849,1.0
0.000211,relu,56,"(10, 425, 405)",0.8606060606060606,0.8606060606060607,0.8606885941119365,0.8594693275766366,1.0
0.000321,tanh,52,"(370, 70, 300, 205, 205)",0.9212121212121213,0.9212121212121213,0.9212993084170703,0.9209072675825944,1.0
0.000119,relu,20,"(195, 330)",0.9151515151515152,0.9151515151515152,0.9154939476453249,0.9149792467902939,1.0
0.000605,tanh,68,"(135, 235, 170)",0.906060606060606,0.9060606060606061,0.9079918443476939,0.9061966587981782,1.0
9.7e-05,tanh,48,"(120, 15)",0.9090909090909091,0.9090909090909091,0.9094533410848616,0.908527695970572,1.0
0.000283,relu,12,"(170, 30, 195, 260, 90)",0.8818181818181818,0.8818181818181818,0.8816104062887214,0.8814863042977871,1.0
0.000783,tanh,18,"(305, 190, 85, 20, 495)",0.9030303030303031,0.903030303030303,0.9028583471362523,0.9024914040900969,1.0
0.000329,relu,52,"(40, 105, 170)",0.8787878787878788,0.8787878787878788,0.877907175027334,0.8781545614878948,1.0
0.000681,relu,46,"(235, 10, 350, 15)",0.9,0.8999999999999999,0.9008849557522124,0.9001977679003438,1.0
1.9e-05,tanh,34,"(90, 240)",0.9121212121212121,0.9121212121212121,0.9123912165433641,0.9119905293421274,1.0
0.000443,relu,56,"(80, 425, 440, 310, 440)",0.8848484848484849,0.8848484848484849,0.8844458011124677,0.8841680067998247,1.0
0.000949,relu,44,"(40, 285, 100)",0.8636363636363636,0.8636363636363636,0.8633838383838383,0.8623313884183449,1.0
3e-06,tanh,40,"(395, 455, 430, 175)",0.8757575757575757,0.8757575757575758,0.8824650333239464,0.8733697632058287,0.9525593008739076
0.000773,tanh,14,"(155,)",0.9181818181818182,0.9181818181818181,0.9191432081340339,0.9181149643188663,1.0
0.000491,tanh,40,"(325, 225)",0.9181818181818182,0.9181818181818181,0.9185465678375765,0.9180294441499123,1.0
0.000845,tanh,28,"(455, 170)",0.9181818181818182,0.9181818181818181,0.918737022550582,0.9178182817356633,1.0
0.000813,tanh,68,"(290, 325, 165)",0.9121212121212121,0.9121212121212121,0.9128455014721449,0.9118777188031344,1.0
0.000811,relu,54,"(410,)",0.9151515151515152,0.915151515151515,0.9153295107378813,0.9150056292287722,1.0
0.000235,relu,68,"(95, 150, 180)",0.8939393939393939,0.8939393939393939,0.8934231949284143,0.8934263487231524,1.0
0.000473,tanh,34,"(270, 410, 100, 495)",0.9090909090909091,0.9090909090909091,0.9096122798139715,0.9090046177269798,1.0
0.000477,tanh,24,"(420, 130, 115, 45, 45)",0.9272727272727272,0.9272727272727272,0.9281149902618829,0.9270497544842414,1.0
0.000461,tanh,56,"(195, 50, 200)",0.9090909090909091,0.9090909090909091,0.9095426312817617,0.9089969462062486,1.0
0.000563,relu,44,"(195, 175, 235)",0.9090909090909091,0.9090909090909092,0.9098692222163393,0.908477372913723,1.0
0.000173,relu,10,"(300, 360, 280, 305, 255)",0.9121212121212121,0.9121212121212121,0.9120338019420587,0.9120649249577534,1.0
0.000437,relu,34,"(405, 405, 110, 485)",0.9030303030303031,0.903030303030303,0.9028189434283558,0.9025819478648902,1.0
0.000853,relu,26,"(495, 210, 85)",0.906060606060606,0.9060606060606059,0.907255122335116,0.9060583441599749,1.0
0.000751,relu,38,"(495, 365)",0.9151515151515152,0.915151515151515,0.9154313030400688,0.9149572475293285,1.0
0.000185,relu,28,"(400, 245, 465, 265)",0.9030303030303031,0.903030303030303,0.9041238662798294,0.9030377043356593,1.0
0.000331,relu,52,"(375, 35, 80, 290, 260)",0.8909090909090909,0.890909090909091,0.8915530965446541,0.8907329865076344,1.0
0.000103,tanh,60,"(290, 455, 185, 165, 235)",0.9030303030303031,0.903030303030303,0.903968253968254,0.9025952140208965,1.0
0.000803,relu,36,"(480, 370, 125)",0.9121212121212121,0.9121212121212121,0.9133289955658377,0.9123633814054375,1.0
0.000181,relu,36,"(35,)",0.9212121212121213,0.9212121212121213,0.9222871892119681,0.9214986391125718,1.0
0.000403,tanh,22,"(235, 220, 465, 55, 75)",0.9121212121212121,0.9121212121212121,0.9128455014721449,0.9118777188031344,1.0
0.000453,relu,46,"(30, 275)",0.896969696969697,0.8969696969696971,0.8967702402108343,0.8960335369296265,1.0
0.000913,tanh,30,"(235, 225, 110, 200, 190)",0.9030303030303031,0.903030303030303,0.9044270514858749,0.9029942507747394,1.0
0.000141,tanh,56,"(35, 175, 315, 310)",0.9121212121212121,0.9121212121212121,0.9123912165433641,0.9119905293421274,1.0
1e-06,relu,34,"(155, 125, 470, 275, 220)",0.896969696969697,0.896969696969697,0.897231537710102,0.8963176953246466,1.0
0.000585,relu,46,"(305, 110, 340)",0.906060606060606,0.9060606060606061,0.9063397901533494,0.9051367156630316,1.0
0.000733,relu,40,"(215,)",0.9090909090909091,0.9090909090909092,0.9091942820012996,0.9089941022280472,1.0
0.000165,tanh,22,"(115, 120, 70)",0.9030303030303031,0.903030303030303,0.9033377250768555,0.902865867982147,1.0
0.000439,relu,44,"(485,)",0.9090909090909091,0.9090909090909092,0.9091278261872872,0.9088753286326533,1.0
0.000441,tanh,48,"(385, 425)",0.9151515151515152,0.9151515151515152,0.9154253154253155,0.9147984850151025,1.0
7.9e-05,tanh,66,"(310,)",0.9121212121212121,0.9121212121212121,0.9127624370427281,0.9120494755765556,1.0
0.000109,tanh,40,"(220, 410, 460, 185, 265)",0.896969696969697,0.896969696969697,0.8972580042444882,0.896307284747618,1.0
0.000201,tanh,14,"(130, 260, 185)",0.906060606060606,0.9060606060606061,0.9068307698488022,0.9060554830387396,1.0
0.000141,relu,24,"(435,)",0.9090909090909091,0.9090909090909091,0.9091980286536169,0.9089809145045556,1.0
0.000865,tanh,54,"(90,)",0.9272727272727272,0.9272727272727272,0.9280926448026859,0.927329937444684,1.0
0.000861,tanh,68,"(365, 300, 255)",0.9121212121212121,0.9121212121212121,0.9124613970865157,0.9118985528901319,1.0
0.000549,relu,22,"(455, 225, 135)",0.9090909090909091,0.9090909090909091,0.9089121887287025,0.9089637582788267,1.0
0.000247,relu,68,"(180, 155)",0.9181818181818182,0.9181818181818181,0.9184866622241676,0.9181694477761645,1.0
0.000251,relu,60,"(470, 75, 430)",0.9030303030303031,0.903030303030303,0.9028295017425453,0.9025434907567947,1.0
0.000391,relu,46,"(160, 460, 35)",0.9090909090909091,0.9090909090909092,0.9089941022280472,0.909004895306265,1.0
0.000225,relu,44,"(145,)",0.906060606060606,0.9060606060606061,0.9060543321412887,0.9057489624931486,1.0
0.000139,tanh,54,"(15, 220)",0.8878787878787879,0.8878787878787878,0.8893299362801262,0.8881038785264138,1.0
0.000725,relu,70,"(240, 345, 470, 95)",0.8848484848484849,0.8848484848484848,0.8839188618639789,0.8836976033884957,1.0
0.000921,relu,22,"(295, 240, 300, 315)",0.9121212121212121,0.9121212121212121,0.9119911379112438,0.9119440567147786,1.0
0.000621,relu,26,"(45,)",0.9,0.9,0.9012240467517018,0.899895971196884,1.0
