,Criterion,Max Depth,Min Sample Leaf,Max Features,Boot Size,T Acc,V Acc,V Pred,V Rec,V F1
0,entropy,8,8,sqrt,622,0.8264669163545568,0.8454545454545455,0.8478468899521531,0.8454545454545453,0.8440722743784498
0,gini,9,6,0.33,730,0.8801498127340824,0.8454545454545455,0.8460451127970274,0.8454545454545453,0.8456714807210831
0,gini,12,12,0.33,790,0.8264669163545568,0.8393939393939394,0.8429366459027476,0.8393939393939395,0.8405877436166654
0,entropy,8,6,0.33,593,0.8514357053682896,0.8303030303030303,0.8328514739229025,0.8303030303030304,0.8300601604949431
0,entropy,8,6,0.33,593,0.8514357053682896,0.8303030303030303,0.8328514739229025,0.8303030303030304,0.8300601604949431
0,gini,5,11,0.33,753,0.8227215980024969,0.8303030303030303,0.8384798246426476,0.8303030303030304,0.8304638031861261
0,gini,5,4,0.33,744,0.8514357053682896,0.8272727272727273,0.833033993,0.8272727272727273,0.8288937983451108
0,entropy,10,6,log2,658,0.8302122347066168,0.8272727272727273,0.8265762837775096,0.8272727272727273,0.8229612836123651
0,gini,15,9,0.33,721,0.8614232209737828,0.8272727272727273,0.8254122001694816,0.8272727272727272,0.8257955869422023
0,gini,10,4,log2,781,0.8439450686641697,0.8272727272727273,0.82581574,0.8272727272727273,0.8250478854140182
0,gini,10,4,log2,781,0.8439450686641697,0.8272727272727273,0.82581574,0.8272727272727273,0.8250478854140182
0,gini,13,11,sqrt,568,0.8177278401997503,0.8242424242424242,0.8230427618358652,0.8242424242424242,0.8232401761390266
0,entropy,11,2,0.33,729,0.9101123595505618,0.8242424242424242,0.8221023527861407,0.8242424242424242,0.8215752113977889
0,entropy,11,7,0.33,757,0.8227215980024969,0.8212121212121212,0.8195140413482309,0.8212121212121212,0.8198144857777653
0,gini,10,9,0.33,546,0.8302122347066168,0.8212121212121212,0.8193365597902803,0.8212121212121213,0.8194163506110409
0,gini,3,8,sqrt,571,0.784019975,0.8212121212121212,0.8236262721190069,0.8212121212121212,0.8221215383335488
0,gini,13,12,0.33,748,0.8127340823970037,0.8212121212121212,0.8200380727003446,0.8212121212121212,0.820043453
0,gini,9,5,0.33,674,0.8689138576779026,0.8212121212121212,0.8231506693896075,0.8212121212121213,0.8218571448528283
0,gini,7,2,0.33,707,0.8863920099875156,0.8212121212121212,0.824984127,0.8212121212121212,0.821166639
0,gini,10,9,0.33,546,0.8302122347066168,0.8212121212121212,0.8193365597902803,0.8212121212121213,0.8194163506110409
0,entropy,11,10,log2,633,0.8339575530586767,0.8212121212121212,0.8237336859925811,0.8212121212121213,0.8172377073718854
0,entropy,11,10,log2,633,0.8339575530586767,0.8212121212121212,0.8237336859925811,0.8212121212121213,0.8172377073718854
0,entropy,7,3,0.33,643,0.8639200998751561,0.8181818181818182,0.8184017350684017,0.8181818181818182,0.8182572958611815
0,gini,13,10,log2,674,0.8227215980024969,0.8181818181818182,0.8232989599124839,0.8181818181818182,0.819701668
0,entropy,15,6,0.33,752,0.8776529338327091,0.8181818181818182,0.8200759000907992,0.8181818181818182,0.8189257959604216
0,gini,12,10,log2,674,0.8227215980024969,0.8181818181818182,0.8232989599124839,0.8181818181818182,0.819701668
0,entropy,13,13,0.33,626,0.8227215980024969,0.8151515151515152,0.817926732,0.8151515151515153,0.8160539203936495
0,entropy,8,11,0.33,651,0.8339575530586767,0.8151515151515152,0.8142105331515034,0.8151515151515151,0.8098740659475308
0,entropy,13,12,0.33,725,0.8689138576779026,0.8151515151515152,0.8156323547627896,0.8151515151515151,0.8114388732451226
0,gini,4,7,0.33,790,0.8039950062421972,0.8151515151515152,0.813448035,0.8151515151515151,0.8140701182082851
0,entropy,15,1,0.33,761,0.9263420724094882,0.8151515151515152,0.8128887576413812,0.8151515151515151,0.8130043800840262
