lambda,regularizer,num_estimators,learning_rate,val_acc,val_recall,val_pre,val_f1,train_acc
0.1,l1,25,0.01,0.8787878787878788,0.8787878787878789,0.8828144536134034,0.8750496110744558,0.8913857677902621
0.1,l1,25,0.1,0.9030303030303031,0.9030303030303032,0.903345192818877,0.9019990028134012,0.9188514357053683
0.1,l1,25,0.25,0.9030303030303031,0.903030303030303,0.9029405330376203,0.9023805718662082,0.9138576779026217
0.1,l1,25,0.5,0.8909090909090909,0.890909090909091,0.8903634156861565,0.8904421196087863,0.8963795255930087
0.1,l1,25,1.0,0.8696969696969697,0.8696969696969697,0.8703391734052112,0.8698698698698699,0.8751560549313359
0.1,l1,50,0.01,0.8848484848484849,0.8848484848484848,0.8881987015057317,0.881694543500867,0.8963795255930087
0.1,l1,50,0.1,0.9030303030303031,0.903030303030303,0.9029405330376203,0.9023805718662082,0.9063670411985019
0.1,l1,50,0.25,0.9030303030303031,0.903030303030303,0.9029405330376203,0.9023805718662082,0.9138576779026217
0.1,l1,50,0.5,0.8909090909090909,0.890909090909091,0.8903634156861565,0.8904421196087863,0.8963795255930087
0.1,l1,50,1.0,0.8696969696969697,0.8696969696969697,0.8703391734052112,0.8698698698698699,0.8751560549313359
0.1,l1,75,0.01,0.8939393939393939,0.8939393939393939,0.8963134964675797,0.8915408149500843,0.9038701622971286
0.1,l1,75,0.1,0.9030303030303031,0.903030303030303,0.9029405330376203,0.9023805718662082,0.9063670411985019
0.1,l1,75,0.25,0.9030303030303031,0.903030303030303,0.9029405330376203,0.9023805718662082,0.9138576779026217
0.1,l1,75,0.5,0.8909090909090909,0.890909090909091,0.8903634156861565,0.8904421196087863,0.8963795255930087
0.1,l1,75,1.0,0.8696969696969697,0.8696969696969697,0.8703391734052112,0.8698698698698699,0.8751560549313359
0.1,l1,100,0.01,0.9030303030303031,0.903030303030303,0.9045558360379854,0.9012727898176814,0.9076154806491885
0.1,l1,100,0.1,0.9030303030303031,0.903030303030303,0.9029405330376203,0.9023805718662082,0.9063670411985019
0.1,l1,100,0.25,0.9030303030303031,0.903030303030303,0.9029405330376203,0.9023805718662082,0.9138576779026217
0.1,l1,100,0.5,0.8909090909090909,0.890909090909091,0.8903634156861565,0.8904421196087863,0.8963795255930087
0.1,l1,100,1.0,0.8696969696969697,0.8696969696969697,0.8703391734052112,0.8698698698698699,0.8751560549313359
0.1,l1,150,0.01,0.906060606060606,0.9060606060606061,0.906711361474959,0.9047390178747038,0.9101123595505618
0.1,l1,150,0.1,0.9030303030303031,0.903030303030303,0.9029405330376203,0.9023805718662082,0.9063670411985019
0.1,l1,150,0.25,0.9030303030303031,0.903030303030303,0.9029405330376203,0.9023805718662082,0.9138576779026217
0.1,l1,150,0.5,0.8909090909090909,0.890909090909091,0.8903634156861565,0.8904421196087863,0.8963795255930087
0.1,l1,150,1.0,0.8696969696969697,0.8696969696969697,0.8703391734052112,0.8698698698698699,0.8751560549313359
0.1,l2,25,0.01,0.9151515151515152,0.915151515151515,0.9153428336336882,0.9140666092692177,0.9250936329588015
0.1,l2,25,0.1,0.9090909090909091,0.9090909090909091,0.9088125719704667,0.9086889854331716,0.9176029962546817
0.1,l2,25,0.25,0.9030303030303031,0.903030303030303,0.9026070035007473,0.9026214526214527,0.9126092384519351
0.1,l2,25,0.5,0.9,0.8999999999999999,0.8999665559050388,0.8998204378230893,0.9088639200998752
0.1,l2,25,1.0,0.8787878787878788,0.8787878787878788,0.879303535845592,0.878957569659657,0.8751560549313359
0.1,l2,50,0.01,0.9151515151515152,0.915151515151515,0.9153428336336882,0.9140666092692177,0.9288389513108615
0.1,l2,50,0.1,0.906060606060606,0.9060606060606061,0.9058325047455482,0.9055600820086802,0.9151061173533084
0.1,l2,50,0.25,0.9030303030303031,0.903030303030303,0.9026070035007473,0.9026214526214527,0.9126092384519351
0.1,l2,50,0.5,0.9,0.8999999999999999,0.8999665559050388,0.8998204378230893,0.9088639200998752
0.1,l2,50,1.0,0.8787878787878788,0.8787878787878788,0.879303535845592,0.878957569659657,0.8751560549313359
0.1,l2,75,0.01,0.9121212121212121,0.9121212121212121,0.9121391617342999,0.9113256268413069,0.9275905118601748
0.1,l2,75,0.1,0.906060606060606,0.9060606060606061,0.9058325047455482,0.9055600820086802,0.9151061173533084
0.1,l2,75,0.25,0.9030303030303031,0.903030303030303,0.9026070035007473,0.9026214526214527,0.9126092384519351
0.1,l2,75,0.5,0.9,0.8999999999999999,0.8999665559050388,0.8998204378230893,0.9088639200998752
0.1,l2,75,1.0,0.8787878787878788,0.8787878787878788,0.879303535845592,0.878957569659657,0.8751560549313359
0.1,l2,100,0.01,0.9121212121212121,0.9121212121212121,0.9121042029739944,0.911486213347623,0.9288389513108615
0.1,l2,100,0.1,0.906060606060606,0.9060606060606061,0.9058325047455482,0.9055600820086802,0.9151061173533084
0.1,l2,100,0.25,0.9030303030303031,0.903030303030303,0.9026070035007473,0.9026214526214527,0.9126092384519351
0.1,l2,100,0.5,0.9,0.8999999999999999,0.8999665559050388,0.8998204378230893,0.9088639200998752
0.1,l2,100,1.0,0.8787878787878788,0.8787878787878788,0.879303535845592,0.878957569659657,0.8751560549313359
0.1,l2,150,0.01,0.9121212121212121,0.9121212121212121,0.911936183675314,0.9116383097691511,0.9263420724094882
0.1,l2,150,0.1,0.906060606060606,0.9060606060606061,0.9058325047455482,0.9055600820086802,0.9151061173533084
0.1,l2,150,0.25,0.9030303030303031,0.903030303030303,0.9026070035007473,0.9026214526214527,0.9126092384519351
0.1,l2,150,0.5,0.9,0.8999999999999999,0.8999665559050388,0.8998204378230893,0.9088639200998752
0.1,l2,150,1.0,0.8787878787878788,0.8787878787878788,0.879303535845592,0.878957569659657,0.8751560549313359
0.1,,25,0.01,,,,,
0.1,,25,0.1,,,,,
0.1,,25,0.25,,,,,
0.1,,25,0.5,,,,,
0.1,,25,1.0,,,,,
0.1,,50,0.01,,,,,
0.1,,50,0.1,,,,,
0.1,,50,0.25,,,,,
0.1,,50,0.5,,,,,
0.1,,50,1.0,,,,,
0.1,,75,0.01,,,,,
0.1,,75,0.1,,,,,
0.1,,75,0.25,,,,,
