lambda,regularizer,num_estimators,learning_rate,val_acc,val_recall,val_pre,val_f1,train_acc
2.036611,,10,36.2,,,,,
0.270251,l2,310,19.2,0.3333333333333333,0.3333333333333333,0.23390548661853083,0.26404209015457597,0.36704119850187267
4.502511,l1,135,34.2,0.26666666666666666,0.26666666666666666,0.30368303571428573,0.21586704133442555,0.2634207240948814
3.341161,,185,21.2,,,,,
8.310341,,10,14.2,,,,,
8.480271,,285,25.2,,,,,
6.327301,l1,360,37.2,0.2696969696969697,0.2696969696969697,0.30327104209924466,0.20750173592195165,0.27715355805243447
7.059121,l2,160,12.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
2.151461,l1,335,39.2,0.21212121212121213,0.21212121212121207,0.27136583223539745,0.20641422720287073,0.26092384519350814
0.558171,,85,22.2,,,,,
4.093761,l2,110,27.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
8.711451,,60,1.2,,,,,
6.479891,,10,8.2,,,,,
7.613661,l2,10,14.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
0.531141,l1,485,7.2,0.6181818181818182,0.6181818181818182,0.6543035210234188,0.6227661162712036,0.6129837702871411
7.644261,l1,210,5.2,0.6181818181818182,0.6181818181818182,0.4225589225589226,0.4970484061393152,0.6117353308364545
6.799961,,260,39.2,,,,,
3.325191,l1,460,33.2,0.23030303030303031,0.23030303030303031,0.24644699070695278,0.18572530389008635,0.2546816479400749
4.767301,l1,235,19.2,0.5636363636363636,0.5636363636363636,0.5995722996401945,0.5593172218562669,0.5156054931335831
1.825771,l2,185,3.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.33458177278401996
5.274921,l2,285,37.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
2.083991,l1,210,22.2,0.48484848484848486,0.4848484848484848,0.652096133441903,0.3895597674479068,0.48564294631710364
6.283901,l1,185,21.2,0.6333333333333333,0.6333333333333333,0.5724604343025396,0.5461066572791955,0.6416978776529338
0.117621,l1,35,17.2,0.6696969696969697,0.6696969696969696,0.6832553901896968,0.6712467549676853,0.7066167290886392
5.876271,l2,35,16.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
4.147951,l2,110,8.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
