lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
2.036611,,,,,,
0.270251,l2,0.8696969696969697,0.8696969696969696,0.8692100201976332,0.8689448454095682,0.9987515605493134
4.502511,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
3.341161,,,,,,
8.310341,,,,,,
8.480271,,,,,,
6.327301,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
7.059121,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
2.151461,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9837702871410736
0.558171,,,,,,
4.093761,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
8.711451,,,,,,
6.479891,,,,,,
7.613661,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.968789013732834
0.531141,l1,0.8757575757575757,0.8757575757575758,0.8752376436586963,0.8752471650556465,0.9987515605493134
7.644261,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.968789013732834
6.799961,,,,,,
3.325191,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9775280898876404
4.767301,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9725343320848939
1.825771,l2,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9887640449438202
5.274921,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
2.083991,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9837702871410736
6.283901,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
0.117621,l1,0.8696969696969697,0.8696969696969696,0.8690275181410682,0.8688970660801646,0.9987515605493134
5.876271,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
4.147951,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
